DATE,ALBPPRIVSA
1988-01-01,806.5
1988-02-01,1406.8
1988-03-01,914.6
1988-04-01,809.1
1988-05-01,1054.0
1988-06-01,1053.9
1988-07-01,1092.6
1988-08-01,1073.4
1988-09-01,957.2
1988-10-01,766.6
1988-11-01,916.3
1988-12-01,1473.1
1989-01-01,897.7
1989-02-01,788.2
1989-03-01,888.5
1989-04-01,824.8
1989-05-01,868.5
1989-06-01,1159.8
1989-07-01,767.5
1989-08-01,1262.2
1989-09-01,892.5
1989-10-01,986.7
1989-11-01,947.4
1989-12-01,942.5
1990-01-01,821.2
1990-02-01,1130.0
1990-03-01,1298.5
1990-04-01,1121.8
1990-05-01,1149.8
1990-06-01,904.6
1990-07-01,989.9
1990-08-01,820.6
1990-09-01,778.6
1990-10-01,1034.1
1990-11-01,1094.2
1990-12-01,909.2
1991-01-01,598.7
1991-02-01,893.1
1991-03-01,828.0
1991-04-01,919.6
1991-05-01,815.5
1991-06-01,823.2
1991-07-01,950.2
1991-08-01,990.6
1991-09-01,1161.8
1991-10-01,915.8
1991-11-01,933.9
1991-12-01,619.3
1992-01-01,1496.9
1992-02-01,991.0
1992-03-01,1004.9
1992-04-01,1137.0
1992-05-01,1018.5
1992-06-01,930.4
1992-07-01,936.5
1992-08-01,911.9
1992-09-01,1492.8
1992-10-01,1065.5
1992-11-01,1126.5
1992-12-01,975.2
1993-01-01,1344.2
1993-02-01,1095.6
1993-03-01,877.5
1993-04-01,1042.5
1993-05-01,978.2
1993-06-01,1621.7
1993-07-01,1303.6
1993-08-01,1231.2
1993-09-01,1443.9
1993-10-01,913.3
1993-11-01,1185.7
1993-12-01,1718.1
1994-01-01,1753.4
1994-02-01,1429.0
1994-03-01,1682.2
1994-04-01,1669.6
1994-05-01,1657.4
1994-06-01,1796.5
1994-07-01,1517.1
1994-08-01,1671.4
1994-09-01,1343.8
1994-10-01,1179.9
1994-11-01,1531.0
1994-12-01,1328.9
1995-01-01,1667.7
1995-02-01,1197.4
1995-03-01,1329.2
1995-04-01,1540.9
1995-05-01,1627.2
1995-06-01,1777.9
1995-07-01,1904.4
1995-08-01,1754.7
1995-09-01,1404.2
1995-10-01,1678.6
1995-11-01,1532.4
1995-12-01,2294.1
1996-01-01,1386.2
1996-02-01,1515.9
1996-03-01,1509.9
1996-04-01,1437.7
1996-05-01,2056.1
1996-06-01,1528.3
1996-07-01,1479.9
1996-08-01,1543.3
1996-09-01,1742.5
1996-10-01,1956.9
1996-11-01,1808.4
1996-12-01,2802.6
1997-01-01,1339.2
1997-02-01,1946.1
1997-03-01,1628.7
1997-04-01,1700.4
1997-05-01,1389.7
1997-06-01,1340.4
1997-07-01,1607.7
1997-08-01,1354.8
1997-09-01,1477.9
1997-10-01,1497.3
1997-11-01,1804.0
1997-12-01,1316.2
1998-01-01,1168.6
1998-02-01,1797.3
1998-03-01,1614.5
1998-04-01,1577.5
1998-05-01,1618.2
1998-06-01,1575.5
1998-07-01,1510.9
1998-08-01,2204.0
1998-09-01,1737.2
1998-10-01,1858.7
1998-11-01,1700.0
1998-12-01,1677.7
1999-01-01,1550.2
1999-02-01,1468.8
1999-03-01,1936.5
1999-04-01,1526.2
1999-05-01,1505.0
1999-06-01,1709.5
1999-07-01,1456.8
1999-08-01,1516.0
1999-09-01,2122.0
1999-10-01,1713.8
1999-11-01,1572.6
1999-12-01,1448.2
2000-01-01,1495.8
2000-02-01,1523.1
2000-03-01,1575.7
2000-04-01,1552.8
2000-05-01,1946.4
