"Date","co2"
1970-01-01,1131.668021
1971-01-01,1176.331221
1972-01-01,1246.494488
1973-01-01,1312.130146
1974-01-01,1278.184112
1975-01-01,1288.564887
1976-01-01,1350.481017
1977-01-01,1402.90292
1978-01-01,1460.110488
1979-01-01,1449.875302
1980-01-01,1394.853582
1981-01-01,1380.630465
1982-01-01,1349.003579
1983-01-01,1353.708419
1984-01-01,1385.399187
1985-01-01,1416.540142
1986-01-01,1466.146726
1987-01-01,1512.461062
1988-01-01,1571.932979
1989-01-01,1582.871403
1990-01-01,1579.30892
1991-01-01,1557.01932
1992-01-01,1576.834446
1993-01-01,1597.463234
1994-01-01,1640.332686
1995-01-01,1675.927802
1996-01-01,1725.5524
1997-01-01,1745.519838
1998-01-01,1782.44415
1999-01-01,1828.585032
2000-01-01,1884.454951
2001-01-01,1855.78184
2002-01-01,1895.480811
2003-01-01,1912.599093
2004-01-01,1967.471978
2005-01-01,1988.137708
2006-01-01,2019.528352
2007-01-01,2022.237063
2008-01-01,1892.330304
2009-01-01,1831.781932
2010-01-01,1845.798013
2011-01-01,1816.859263
2012-01-01,1780.385426
2013-01-01,1807.345645
2014-01-01,1825.446535
2015-01-01,1850.379144
2016-01-01,1888.012596
2017-01-01,1904.741544
2018-01-01,1934.449021
2019-01-01,1939.700347
