"Quarter","RGDP","CPI","FEDFUNDS"
1960 Q1,3517.181,29.3966666666667,3.93333333333333
1960 Q2,3498.246,29.5733333333333,3.69666666666667
1960 Q3,3515.385,29.59,2.93666666666667
1960 Q4,3470.278,29.78,2.29666666666667
1961 Q1,3493.703,29.84,2.00333333333333
1961 Q2,3553.021,29.83,1.73333333333333
1961 Q3,3621.252,29.9466666666667,1.68333333333333
1961 Q4,3692.289,29.99,2.4
1962 Q1,3758.147,30.1066666666667,2.45666666666667
1962 Q2,3792.149,30.22,2.60666666666667
1962 Q3,3838.776,30.3066666666667,2.84666666666667
1962 Q4,3851.421,30.38,2.92333333333333
1963 Q1,3893.482,30.4766666666667,2.96666666666667
1963 Q2,3937.183,30.5333333333333,2.96333333333333
1963 Q3,4023.755,30.72,3.33
1963 Q4,4050.147,30.8033333333333,3.45333333333333
1964 Q1,4135.553,30.93,3.46333333333333
1964 Q2,4180.592,30.98,3.49
1964 Q3,4245.918,31.05,3.45666666666667
1964 Q4,4259.046,31.1933333333333,3.57666666666667
1965 Q1,4362.111,31.29,3.97666666666667
1965 Q2,4417.225,31.49,4.08
1965 Q3,4515.427,31.5833333333333,4.07666666666667
1965 Q4,4619.458,31.75,4.16666666666667
1966 Q1,4731.888,32.0466666666667,4.56
1966 Q2,4748.046,32.3366666666667,4.91333333333333
1966 Q3,4788.254,32.6166666666667,5.41
1966 Q4,4827.537,32.8833333333333,5.56333333333333
1967 Q1,4870.299,32.9666666666667,4.82333333333333
1967 Q2,4873.287,33.1666666666667,3.99
1967 Q3,4919.392,33.5,3.89333333333333
1967 Q4,4956.477,33.8666666666667,4.17333333333333
1968 Q1,5057.553,34.2,4.79
1968 Q2,5142.033,34.5333333333333,5.98333333333333
1968 Q3,5181.859,35,5.94666666666667
1968 Q4,5202.212,35.4333333333333,5.91666666666667
1969 Q1,5283.597,35.8666666666667,6.56666666666667
1969 Q2,5299.625,36.4333333333333,8.32666666666667
1969 Q3,5334.6,36.9333333333333,8.98333333333333
1969 Q4,5308.556,37.5,8.94
1970 Q1,5300.652,38.1,8.57333333333333
1970 Q2,5308.164,38.6333333333333,7.88666666666667
1970 Q3,5357.077,39.0333333333333,6.70666666666667
1970 Q4,5299.672,39.6,5.56666666666667
1971 Q1,5443.619,39.9333333333333,3.85666666666667
1971 Q2,5473.059,40.3,4.56666666666667
1971 Q3,5518.072,40.7,5.47666666666667
